player_id,club_id,first_name,last_name,club,position,nationality,shirt_num,best_player_counter
382,133,Jan,Vertonghen  ,Tottenham Hotspur,CB,Belgium,15,0
383,133,Toby,Alderweireld  ,Tottenham Hotspur,CB,Belgium,33,0
384,133,Victor,Wanyama  ,Tottenham Hotspur,DM,Kenya,69,0
385,133,Eric,Dier  ,Tottenham Hotspur,DM,England,90,0
386,133,Ben,Davies  ,Tottenham Hotspur,LB,Wales,98,0
387,133,Danny,Rose  ,Tottenham Hotspur,LB,England,68,0
388,133,Mousa,Dembele  ,Tottenham Hotspur,CM,Belgium,37,0
389,133,Vincent,Janssen  ,Tottenham Hotspur,CF,Netherlands,86,0
390,133,Kieran,Trippier  ,Tottenham Hotspur,RB,England,19,0
391,133,Moussa,Sissokho  ,Tottenham Hotspur,CM,France,39,0
392,133,Harry,Winks  ,Tottenham Hotspur,CM,England,39,0
393,133,Erik,Lamela  ,Tottenham Hotspur,RW,Argentina,10,0
394,133,Michel,Vorm  ,Tottenham Hotspur,GK,Netherlands,91,0
395,133,Georges-Kevin,N%27Koudou  ,Tottenham Hotspur,LW,France,27,0
396,133,Kevin,Wimmer  ,Tottenham Hotspur,CB,Austria,49,0
397,134,Afacetienne,Capoue  ,Watford,DM,France,74,0
398,134,Troy,Deeney  ,Watford,CF,England,55,0
399,134,Heurelho,Gomes  ,Watford,GK,Brazil,33,0
400,134,Jose,Holebas  ,Watford,LB,Greece,95,0
401,134,Miguel,Britos  ,Watford,CB,Uruguay,78,0
402,134,Sebastian,Prodl  ,Watford,CB,Austria,11,0
403,134,Nordin,Amrabat  ,Watford,LW,Morocco,31,0
404,134,Youn̬s,Kaboul  ,Watford,CB,France,17,0
405,134,Tom,Cleverley  ,Watford,CM,England,94,0
406,134,Daryl,Janmaat  ,Watford,RB,Netherlands,68,0
407,134,Valon,Behrami  ,Watford,DM,Switzerland,47,0
408,134,Roberto,Pereyra  ,Watford,AM,Argentina,48,0
409,134,Stefano,Okaka  ,Watford,CF,Italy,5,0
410,134,Abdoulaye,Doucoure  ,Watford,CM,France,73,0
411,134,Kabasele,Kaboose,Watford,CB,Belgium,60,0
412,134,Craig,Cathcart  ,Watford,CB,Northern Ireland,35,0
